id,x,y
1,-37.81517,144.97476
2,-37.81524,144.95256
3,-37.81239,144.9712
4,-37.81679,144.96918
5,-37.81808,144.95692
6,-37.811269,144.957909
7,-37.809081,144.96893
8,-37.815461,144.962656
9,-37.81285,144.955026
10,-37.816356,144.962313
11,-37.818071,144.957211
12,-37.818202,144.954367
13,-37.814225,144.971971
14,-37.815975,144.955905
15,-37.815493,144.956713999999
16,-37.81852,144.957140999999
17,-37.817303,144.962344
18,-37.818162,144.959934
19,-37.813381,144.959612
20,-37.812084,144.967997
21,-37.818494,144.957705
22,-37.8121219999999,144.97071
23,-37.811625,144.964918999999
24,-37.814263,144.972105
25,-37.815549,144.966686
26,-37.818166,144.964831
27,-37.817384,144.959217
28,-37.814896,144.971668
29,-37.811126,144.962115999999
30,-37.818656,144.956626
31,-37.817261,144.962515
32,-37.812845,144.968248
33,-37.811978,144.962387999999
34,-37.812723,144.960164
35,-37.813463,144.973217
36,-37.810996,144.967095
37,-37.814989,144.960908
38,-37.82091,144.955155
39,-37.8201229999999,144.957552
40,-37.812899,144.959886
41,-37.811678,144.962783
42,-37.819576,144.95985
43,-37.817069,144.961828
44,-37.818218,144.960705
45,-37.8098849999999,144.963286
46,-37.815196,144.962969999999
47,-37.812799,144.954686
48,-37.811928,144.956414
49,-37.8160109999999,144.972058
50,-37.814431,144.954653
51,-37.810382,144.971223
52,-37.8164669999999,144.958334
53,-37.815777,144.970508
54,-37.812578,144.965313999999
55,-37.81607,144.957254
56,-37.814398,144.96632
57,-37.813963,144.957301
58,-37.816158,144.960706
59,-37.8177789999999,144.955968999999
60,-37.818018,144.964596
61,-37.812857,144.96843
62,-37.811627,144.965056
63,-37.816122,144.964421
64,-37.813447,144.966028
65,-37.815488,144.966824
66,-37.814765,144.969286
67,-37.812088,144.970836
68,-37.816206,144.966634
69,-37.819471,144.960069
70,-37.810219,144.9618
71,-37.809538,144.964091
72,-37.812653,144.956622
73,-37.811251,144.964157
74,-37.81354,144.971421
75,-37.809969,144.97078
76,-37.809264,144.971708
77,-37.812711,144.959971
78,-37.81653,144.961967
79,-37.815387,144.968814999999
80,-37.81751,144.959237
81,-37.814257,144.96337
82,-37.809041,144.971828
83,-37.820744,144.955485
84,-37.817483,144.959445
85,-37.812934,144.952075
86,-37.812343,144.954135
87,-37.811533,144.972614
88,-37.813573,144.973404
89,-37.815793,144.958295
90,-37.818474,144.956805
91,-37.814395,144.963537
92,-37.815891,144.958861
93,-37.815195,144.974409
94,-37.815371,144.973076
95,-37.818151,144.96081
96,-37.816299,144.95902
97,-37.8149049999999,144.954912999999
98,-37.816209,144.961635
99,-37.812379,144.956402
100,-37.8168219999999,144.963209
101,-37.815309,144.969476
102,-37.809356,144.970729
103,-37.811313,144.972958
104,-37.810641,144.970534
105,-37.810911,144.962689999999
106,-37.810065,144.963281
107,-37.811398,144.972672
108,-37.816891,144.961957
109,-37.813545,144.971705
110,-37.814265,144.971685
111,-37.815992,144.961028
112,-37.814484,144.9635
113,-37.813167,144.965468
114,-37.81922,144.958485
115,-37.815858,144.954818
116,-37.816217,144.970928
117,-37.810269,144.969862999999
118,-37.819101,144.954229
119,-37.8110219999999,144.959234
120,-37.81215,144.961955
121,-37.816496,144.96509
122,-37.815296,144.958369
123,-37.8163099999999,144.964351
124,-37.817386,144.96123
125,-37.813175,144.952919
