episode,episode_reward,p_loss,v_loss,t_loss
4,-93.46419490592241,0.9624787986278533,2272.043212890625,568.9732788085937
9,-111.0848232183638,0.6651536047458648,1864.693115234375,466.8384307861328
14,-120.56560519551702,0.7952961802482605,1912.7691650390625,478.9875854492187
19,-116.7128068602847,0.873555701971054,2671.887939453125,668.8455444335938
24,-114.2000613243794,0.8548702239990235,3118.85009765625,780.5673889160156
29,-138.11835376790467,0.9776262581348419,3024.044189453125,756.988671875
34,-146.28428313678342,0.9213362157344818,2895.50048828125,724.7964538574219
39,-142.126963742434,1.001616656780243,3516.730712890625,880.1842895507813
44,-85.31997029033927,0.7897311925888062,1487.681640625,372.71014404296875
49,-136.3339771756354,0.8963212072849274,2225.91796875,557.3758117675782
54,-116.6046911190272,0.7870048403739929,2712.54296875,678.92275390625
59,-132.1321261584805,0.9313377320766449,3389.77587890625,848.3753112792969
64,-152.32090552855004,1.1369098544120788,4113.65576171875,1029.5508544921875
69,-151.62179962853804,1.1381031632423402,3950.28125,988.7084106445312
74,-135.6933956276529,1.1071867942810059,3079.890625,771.0798461914062
79,-149.36219791546165,1.1990386605262757,4071.441650390625,1019.0594482421875
84,-151.19132125189242,1.1985656142234802,3962.253662109375,991.7619873046875
89,-129.32244042293968,1.0934284925460815,3728.153076171875,933.1316955566406
94,-165.88689913136892,1.0640254974365235,3757.28759765625,940.3859191894531
99,-144.64747899196135,1.1727783918380736,3639.5517578125,911.0607116699218
104,-159.2753763370991,1.1575629115104675,3941.5859375,986.5540466308594
109,-137.4816269300869,1.0500613689422607,3466.713623046875,867.728466796875
114,-145.91587050464227,1.0735851407051087,3198.887939453125,800.7955688476562
119,-150.60386553674962,0.9881610035896301,3549.984375,888.4842590332031
124,-147.9508822185989,1.086881422996521,3664.5126953125,917.2150512695313
129,-148.61339217055374,1.1204094529151916,3245.798828125,812.5701171875
134,-146.1138386286931,1.0963880896568299,3600.8271484375,901.3031799316407
139,-149.465736938916,1.2074710249900817,3960.385009765625,991.3037231445312
144,-149.52944610486836,1.1195245265960694,3338.575927734375,835.7635070800782
149,-153.68102668978474,1.10250244140625,3455.99951171875,865.1023803710938
154,-151.7888444015362,1.125414824485779,3630.038818359375,908.635107421875
159,-149.49802442390498,1.064785647392273,3698.149169921875,925.6020751953125
164,-156.18583570504924,1.134703767299652,3919.8896484375,981.1071166992188
169,-143.8640097630331,1.12552330493927,3250.116943359375,813.6547546386719
174,-132.8263220426649,0.9620621621608734,2863.339111328125,716.7968383789063
179,-125.39262701949302,0.948074334859848,2229.592529296875,558.3461975097656
184,-109.20295339536473,0.8231259703636169,2296.268310546875,574.8902099609375
189,-114.61039648022594,0.8545043587684631,2390.169189453125,598.3968017578125
194,-123.72387312878914,1.034944725036621,2764.52978515625,692.1673889160156
199,-131.59164072603392,0.9947724640369415,2489.7255859375,623.4261596679687
204,-111.35968214372429,0.8863007605075837,1569.9971923828125,393.38560180664064
209,-104.82743742167487,0.7314713060855865,1614.753662109375,404.4198883056641
214,-82.17429044704,0.6492197692394257,1141.486328125,286.0208038330078
219,-83.82074809000422,0.5411625742912293,1144.2431640625,286.601953125
224,-107.68765630184257,0.6861309945583344,1397.205078125,349.9873992919922
229,-81.81495995658692,0.8550257444381714,1925.527099609375,482.23680419921874
234,-91.99817762321825,0.7467574417591095,1305.1732177734375,327.0400634765625
239,-117.74701968371986,0.7739547908306121,2124.55078125,531.9116516113281
244,-111.68997078185072,0.86608966588974,1736.6204833984375,435.0212066650391
249,-103.36018255835106,0.7141632378101349,1850.997314453125,463.46348876953124
254,-83.8502998443924,0.5494620263576507,1460.8724365234375,365.76756896972654
259,-73.19406226270094,0.4275002360343933,1360.56201171875,340.56800537109376
264,-94.35207686546835,0.4554428279399872,1015.3442993164062,254.29151763916016
269,-77.84577322154664,0.587630707025528,939.6549682617188,235.50137329101562
274,-55.03158051051108,0.4547746479511261,1124.884765625,281.67596435546875
279,-71.91812276223625,0.5836628675460815,1197.6351318359375,299.99244995117186
284,-87.18676132767897,0.6430256307125092,1152.7391357421875,288.82781372070315
289,-99.99892120516235,0.7836269021034241,1842.1318359375,461.31658630371095
294,-76.7580475387848,0.7335178077220916,1073.1124267578125,269.0116271972656
299,-100.74864304195363,0.7648514091968537,1379.9710693359375,345.7576202392578
304,-110.55919896252449,1.022581261396408,2949.791015625,738.4703369140625
309,-104.15235932472167,0.992822790145874,2182.596435546875,546.6419311523438
314,-134.93936110976566,1.02819864153862,2789.575927734375,698.4221862792969
319,-110.1035371699441,0.7491374015808105,1487.9588623046875,372.7388549804688
324,-112.26859322040706,0.7948474407196044,2292.9033203125,574.0206848144531
329,-109.18509615675254,0.7787919223308564,2070.53564453125,518.4127014160156
334,-134.36582657808512,0.8632128000259399,3141.379150390625,786.2080078125
339,-111.56777664088634,0.9561334550380707,2871.3603515625,718.7962280273438
344,-158.6107569785765,0.9698932707309723,3072.98193359375,769.2153747558593
349,-160.56888501395824,1.0356114029884338,3803.6962890625,951.9596801757813
354,-150.58087569693785,1.1108373999595642,4059.43017578125,1015.9683837890625
359,-138.3053768265155,1.040697157382965,3636.5966796875,910.1898681640625
364,-141.18229890105906,0.9617895185947418,3085.396484375,772.3109069824219
369,-159.65273891107083,0.914596039056778,3342.985107421875,836.6608703613281
374,-156.80498724927511,1.0183025360107423,3818.948974609375,955.7555541992188
379,-151.7729163476315,0.96882244348526,3653.78759765625,914.4157287597657
384,-141.98283743318416,0.8708714067935943,3637.50390625,910.2468444824219
389,-127.82509701536156,0.8638674318790436,3273.830078125,819.3213928222656
394,-123.10826268203016,0.8276362836360931,3334.280517578125,834.3977661132812
399,-137.8028495719435,0.8791706383228302,2481.077392578125,621.1485168457032
404,-99.93971253706903,0.7523293733596802,1710.21142578125,428.3051788330078
409,-112.83467959541859,0.5703343451023102,1551.378662109375,388.4149963378906
414,-89.70726405003396,0.6452291369438171,1457.2918701171875,364.96819763183595
419,-94.30371675558249,0.5315302014350891,1596.256103515625,399.595556640625
424,-80.09948436363177,0.35592942237854003,1286.03955078125,321.8658203125
429,-72.8055072902905,0.4353646457195282,1338.35791015625,335.02483825683595
434,-55.78571623927579,0.4691378980875015,1280.893310546875,320.6924652099609
439,-93.90923325663644,0.466110298037529,1441.7808837890625,360.9113342285156
