2025-05-08 21:10:43,539 INFO    MainThread:87328 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_setup.py:_flush():67] Configure stats pid to 87328
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_setup.py:_flush():67] Loading settings from C:\Users\asus\.config\wandb\settings
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_setup.py:_flush():67] Loading settings from C:\Users\asus\Desktop\NEW_PPO\wandb\settings
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_init.py:setup_run_log_directory():662] Logging user logs to MSD_PPO\wandb\run-20250508_211043-abt9iys9\logs\debug.log
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to MSD_PPO\wandb\run-20250508_211043-abt9iys9\logs\debug-internal.log
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_init.py:init():781] calling init triggers
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_init.py:init():809] starting backend
2025-05-08 21:10:43,540 INFO    MainThread:87328 [wandb_init.py:init():813] sending inform_init request
2025-05-08 21:10:43,634 INFO    MainThread:87328 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-08 21:10:43,634 INFO    MainThread:87328 [wandb_init.py:init():823] backend started and connected
2025-05-08 21:10:43,635 INFO    MainThread:87328 [wandb_init.py:init():915] updated telemetry
2025-05-08 21:10:43,635 INFO    MainThread:87328 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-05-08 21:10:44,645 INFO    MainThread:87328 [wandb_init.py:init():1014] starting run threads in backend
2025-05-08 21:10:44,708 INFO    MainThread:87328 [wandb_run.py:_console_start():2454] atexit reg
2025-05-08 21:10:44,709 INFO    MainThread:87328 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-05-08 21:10:44,709 INFO    MainThread:87328 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-05-08 21:10:44,709 INFO    MainThread:87328 [wandb_run.py:_redirect():2394] Redirects installed.
2025-05-08 21:10:44,711 INFO    MainThread:87328 [wandb_init.py:init():1056] run started, returning control to user process
2025-05-08 21:14:36,884 INFO    MsgRouterThr:87328 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
